,nB,WB,SB,Replicate
HLA-A0205,0.3070624360286592,0.9211873080859775,5.220061412487206,Replicate 1
HLA-A0301,0.9211873080859775,4.401228249744115,50.05117707267144,Replicate 1
HLA-B4901,0.5117707267144319,0.7164790174002047,23.336745138178095,Replicate 1
HLA-B5501,0.6141248720573184,0.7164790174002047,7.267144319344934,Replicate 1
HLA-C0304,0.2047082906857728,0.2047082906857728,1.6376663254861823,Replicate 1
HLA-C0701,0.8188331627430911,0.4094165813715456,1.7400204708290685,Replicate 1
HLA-A0205,0.23014959723820483,1.2658227848101267,2.8768699654775602,Replicate 2
HLA-A0301,1.2658227848101267,5.638665132336018,51.55350978135788,Replicate 2
HLA-B4901,0.8055235903337169,0.8055235903337169,20.368239355581128,Replicate 2
HLA-B5501,1.0356731875719218,0.8055235903337169,8.170310701956272,Replicate 2
HLA-C0304,0.34522439585730724,0.34522439585730724,1.9562715765247412,Replicate 2
HLA-C0701,0.9205983889528193,0.46029919447640966,1.1507479861910241,Replicate 2
