,Replicate_1,Replicate_2
7,4.898584003061615,4.99092558983666
8,9.567546880979716,10.072595281306715
9,37.38997321086873,39.42831215970962
10,14.810562571756602,13.929219600725952
11,9.031764255644852,9.11978221415608
12,4.094910065059318,4.310344827586207
13,3.5973976272483736,4.219600725952813
14,2.5641025641025643,2.722323049001815
15,1.9135093761959434,2.6315789473684212
16,1.9135093761959434,1.588021778584392
17,1.5308075009567548,1.4972776769509981
18,2.0283199387677,1.4065335753176043
19,1.492537313432836,0.9074410163339383
20,1.0715652506697282,1.0889292196007259
21,0.9950248756218906,0.27223230490018147
22,1.2629161882893227,0.7713248638838476
23,0.7654037504783774,0.4537205081669691
24,0.6123230003827018,0.3629764065335753
25,0.4592422502870264,0.22686025408348456
